Code,Name,Date,Close
AU.SHF,SHFE Gold,2023/8/21,461.42
AU.SHF,SHFE Gold,2023/8/22,460.83
AU.SHF,SHFE Gold,2023/8/23,462.22
AU.SHF,SHFE Gold,2023/8/24,464.4
AU.SHF,SHFE Gold,2023/8/25,462.85
AU.SHF,SHFE Gold,2023/8/28,462.97
AU.SHF,SHFE Gold,2023/8/29,464.51
AU.SHF,SHFE Gold,2023/8/30,465.86
AU.SHF,SHFE Gold,2023/8/31,467.55
AU.SHF,SHFE Gold,2023/9/1,466.85
AU.SHF,SHFE Gold,2023/9/4,468.79
AU.SHF,SHFE Gold,2023/9/5,468.95
AU.SHF,SHFE Gold,2023/9/6,468.2
AU.SHF,SHFE Gold,2023/9/7,468.08
AU.SHF,SHFE Gold,2023/9/8,470.82
AU.SHF,SHFE Gold,2023/9/11,470.52
AU.SHF,SHFE Gold,2023/9/12,470.74
AU.SHF,SHFE Gold,2023/9/13,471.65
AU.SHF,SHFE Gold,2023/9/14,476.03
AU.SHF,SHFE Gold,2023/9/15,473.73
AU.SHF,SHFE Gold,2023/9/18,471.31
AU.SHF,SHFE Gold,2023/9/19,473.81
AU.SHF,SHFE Gold,2023/9/20,475.4
AU.SHF,SHFE Gold,2023/9/21,474.9
AU.SHF,SHFE Gold,2023/9/22,474.49
AU.SHF,SHFE Gold,2023/9/25,475.5
AU.SHF,SHFE Gold,2023/9/26,474.62
AU.SHF,SHFE Gold,2023/9/27,470.88
AU.SHF,SHFE Gold,2023/9/28,463.42
AU.SHF,SHFE Gold,2023/10/9,458.68
AU.SHF,SHFE Gold,2023/10/10,454.42
AU.SHF,SHFE Gold,2023/10/11,454.24
AU.SHF,SHFE Gold,2023/10/12,457.53
AU.SHF,SHFE Gold,2023/10/13,458.8
AU.SHF,SHFE Gold,2023/10/16,465.13
AU.SHF,SHFE Gold,2023/10/17,467.35
AU.SHF,SHFE Gold,2023/10/18,471.93
AU.SHF,SHFE Gold,2023/10/19,475.28
AU.SHF,SHFE Gold,2023/10/20,480.75
AU.SHF,SHFE Gold,2023/10/23,480.06
AU.SHF,SHFE Gold,2023/10/24,479.25
AU.SHF,SHFE Gold,2023/10/25,477.96
AU.SHF,SHFE Gold,2023/10/26,480.73
AU.SHF,SHFE Gold,2023/10/27,481.05
AU.SHF,SHFE Gold,2023/10/30,482.2
AU.SHF,SHFE Gold,2023/10/31,483.03
AU.SHF,SHFE Gold,2023/11/1,481.25
AU.SHF,SHFE Gold,2023/11/2,482.12
AU.SHF,SHFE Gold,2023/11/6,479.34
AU.SHF,SHFE Gold,2023/11/7,477.36
AU.SHF,SHFE Gold,2023/11/8,475.19
AU.SHF,SHFE Gold,2023/11/9,472.23
AU.SHF,SHFE Gold,2023/11/10,474.71
AU.SHF,SHFE Gold,2023/11/13,473.32
AU.SHF,SHFE Gold,2023/11/14,474.87
AU.SHF,SHFE Gold,2023/11/15,476.34
AU.SHF,SHFE Gold,2023/11/16,475.21
AU.SHF,SHFE Gold,2023/11/17,476.8
AU.SHF,SHFE Gold,2023/11/20,471.32
AU.SHF,SHFE Gold,2023/11/21,470.29
AU.SHF,SHFE Gold,2023/11/22,469.41
AU.SHF,SHFE Gold,2023/11/23,468.76
AU.SHF,SHFE Gold,2023/11/24,469.21
AU.SHF,SHFE Gold,2023/11/27,473.42
AU.SHF,SHFE Gold,2023/11/28,474.95
AU.SHF,SHFE Gold,2023/11/29,478.83
AU.SHF,SHFE Gold,2023/11/30,479.1
AU.SHF,SHFE Gold,2023/12/1,479.16
AU.SHF,SHFE Gold,2023/12/4,485.04
AU.SHF,SHFE Gold,2023/12/5,478.37
AU.SHF,SHFE Gold,2023/12/6,477.44
AU.SHF,SHFE Gold,2023/12/7,478.25
AU.SHF,SHFE Gold,2023/12/8,478.57
AU.SHF,SHFE Gold,2023/12/11,474.95
AU.SHF,SHFE Gold,2023/12/12,473.23
AU.SHF,SHFE Gold,2023/12/13,472.35
AU.SHF,SHFE Gold,2023/12/14,479.58
AU.SHF,SHFE Gold,2023/12/15,478.83
AU.SHF,SHFE Gold,2023/12/18,478.27
AU.SHF,SHFE Gold,2023/12/19,479.28
AU.SHF,SHFE Gold,2023/12/20,480.3
AU.SHF,SHFE Gold,2023/12/21,480.41
AU.SHF,SHFE Gold,2023/12/22,482.94
AU.SHF,SHFE Gold,2023/12/25,484.21
AU.SHF,SHFE Gold,2023/12/26,484.82
AU.SHF,SHFE Gold,2023/12/27,486.02
AU.SHF,SHFE Gold,2023/12/28,487.03
AU.SHF,SHFE Gold,2023/12/29,485.12
AU.SHF,SHFE Gold,2024/1/2,486.75
AU.SHF,SHFE Gold,2024/1/3,486.23
AU.SHF,SHFE Gold,2024/1/4,484.28
AU.SHF,SHFE Gold,2024/1/5,485.02
AU.SHF,SHFE Gold,2024/1/8,485.02
AU.SHF,SHFE Gold,2024/1/9,483.65
AU.SHF,SHFE Gold,2024/1/10,482.49
AU.SHF,SHFE Gold,2024/1/11,482.87
AU.SHF,SHFE Gold,2024/1/12,483.41
AU.SHF,SHFE Gold,2024/1/15,486.23
AU.SHF,SHFE Gold,2024/1/16,485.99
AU.SHF,SHFE Gold,2024/1/17,482.29
AU.SHF,SHFE Gold,2024/1/18,481.34
AU.SHF,SHFE Gold,2024/1/19,482.99
AU.SHF,SHFE Gold,2024/1/22,481.5
AU.SHF,SHFE Gold,2024/1/23,481.8
AU.SHF,SHFE Gold,2024/1/24,481.28
AU.SHF,SHFE Gold,2024/1/25,479.45
AU.SHF,SHFE Gold,2024/1/26,481.34
AU.SHF,SHFE Gold,2024/1/29,482.67
AU.SHF,SHFE Gold,2024/1/30,483.63
AU.SHF,SHFE Gold,2024/1/31,484.22
